[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_VERSIONED.DNA_METHYLATION_CHR3_HG19_GDC_2017_01
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)

## TCGA_VERSIONED.DNA_METHYLATION_CHR18_HG19_GDC_2017_01
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R34
CLIN_SIG: TEXT | Clinical significance of variant from dbSNP
Exon_Number: TEXT | The exon number (out of total number)
all_effects: TEXT | A semicolon delimited list of all possible variant effects, sorted by priority ([Symbol,Consequence,HGVSp_Short,Transcript_ID,RefSeq,HGVSc,Impact,Canonical,Sift,PolyPhen,Strand])
gnomAD_NFE_AF: FLOAT | Frequency of existing variant in gnomAD exomes Non-Finnish European population
Sequencing_Phase: TEXT | TCGA sequencing phase (if applicable). Phase should change under any circumstance that the targets under consideration change
mutect2: TEXT | Mutect2 caller identified the variant at this position
UNIPARC: TEXT | UniParc identifier of protein product
n_ref_count: TEXT | Read depth supporting the reference allele in normal BAM (cleared in somatic MAF)
Tumor_Aliquot_Barcode: TEXT | Aliquot barcode for the tumor sample
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
Verification_Status: TEXT | Second pass results from independent attempt using same methods as primary data source. Generally reserved for 3730 Sanger Sequencing
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
aliquot_barcode_tumor: TEXT | TCGA aliquot barcode for the tumor, eg TCGA-12-1089-01A-01D-0517-01
RNA_alt_count: TEXT | Read depth supporting the variant allele at this locus if the variant is supported by tumor RNA-seq data.
HGVSp: TEXT | The protein sequence of the variant in HGVS recommended format. p.= signifies no change in the protein
Tumor_Seq_Allele1: TEXT | Primary data genotype for tumor sequencing (discovery) allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
Center: TEXT | One or more genome sequencing center reporting the variant
gnomAD_non_cancer_EAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer East Asian population
primary_site: TEXT | Anatomical site of the cancer under investigation or review
EXON: TEXT | The exon number (out of total number)
Feature: TEXT | Stable Ensembl ID of feature (transcript, regulatory, motif)
Tumor_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
pindel: TEXT | pindel caller identified the variant at this position
Reference_Allele: TEXT | The plus strand reference allele at this position. Includes the deleted sequence for a deletion or - for an insertion
ThousG_AFR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined African population
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
MOTIF_SCORE_CHANGE: TEXT | The difference in motif score of the reference and variant sequences for the TFBP
ESP_EA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP European American population
Validation_Status: TEXT | Second pass results from orthogonal technology
ThousG_EAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined East Asian population
Protein_position: TEXT | Relative position of affected amino acid in protein. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
CANONICAL: TEXT | A flag (YES) indicating that the VEP-based canonical transcript, the longest translation, was used for this gene. If not, the value is null
cDNA_position: TEXT | Relative position of base pair in the cDNA sequence as a fraction. A - symbol is displayed as the numerator if the variant does not appear in cDNA
Matched_Norm_Aliquot_Barcode: TEXT | Aliquot barcode for the matched normal sample
PolyPhen: TEXT | The PolyPhen prediction and/or score
gnomAD_non_cancer_MID_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Middle Eastern population
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
gnomAD_non_cancer_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes combined non-cancer population
ENSP: TEXT | The Ensembl protein identifier of the affected transcript
Tumor_Aliquot_UUID: TEXT | Unique GDC identifier for tumor aliquot (10189 unique)
CCDS: TEXT | The  CCDS identifier for this transcript, where applicable
gnomAD_non_cancer_AMI_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Amish population
SYMBOL: TEXT | Eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
IMPACT: TEXT | The impact modifier for the consequence type
gnomAD_SAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes South Asian population
gnomAD_non_cancer_FIN_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Finnish population
Entrez_Gene_Id: NUMBER | Entrez gene ID (an integer). 0 is used for regions that do not correspond to a gene region or Ensembl ID
HGVSp_Short: TEXT | Same as the HGVSp column, but using 1-letter amino-acid codes
gnomAD_AF: FLOAT | Frequency of existing variant in gnomAD exomes combined population
SIFT: TEXT | The SIFT prediction and/or score, with both given as prediction (score)
dbSNP_RS: TEXT | The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
NCBI_Build: TEXT | The reference genome used for the alignment (GRCh38)
ThousG_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes
HGVSc: TEXT | The coding sequence of the variant in HGVS recommended format
muse: TEXT | Muse caller identified the variant at this position
SOMATIC: TEXT | Somatic status of each ID reported under Existing_variation (0, 1, or null)
tumor_submitter_uuid: TEXT | Unique GDC identifier for the tumor file submitter
Match_Norm_Seq_Allele1: TEXT | Primary data genotype. Matched normal sequencing allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
varscan2: TEXT | Varscan2 caller identified the variant at this position
PHENO: TEXT | Indicates if existing variant is associated with a phenotype, disease or trait (0, 1, or null)
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
ThousG_EUR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined European population
VARIANT_CLASS: TEXT | Sequence Ontology variant class
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
gnomAD_non_cancer_NFE_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Non-Finnish European population
Gene: TEXT | The gene symbol. In this table, gene symbol is gene name e.g. ACADVL
DOMAINS: TEXT | The source and identifier of any overlapping protein domains
gnomAD_non_cancer_OTH_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Other population
Start_Position: NUMBER | Lowest numeric position of the reported variant on the genomic reference sequence. Mutation start coordinate
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
SWISSPROT: TEXT | UniProtKB/Swiss-Prot accession
gnomAD_non_cancer_AMR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Latino population
hotspot: BOOLEAN | A flag indicating if the variant is a known hotspot (Y, N, or null)
Tumor_Seq_Allele2: TEXT | Primary data genotype for tumor sequencing (discovery) allele 2. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases
gnomAD_AMR_AF: FLOAT | Frequency of existing variant in gnomAD exomes American population
BAM_File: TEXT | Not in use
PUBMED: TEXT | Pubmed ID(s) of publications that cite existing variant
MOTIF_NAME: TEXT | The source and identifier of a transcription factor binding profile aligned at this position
normal_submitter_uuid: TEXT | Unique GDC identifier for the normal file submitter
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01
case_id: TEXT | Unique GDC identifier for the underlying case
Sequencer: TEXT | Instrument used to produce primary sequence data
CDS_position: TEXT | Relative position of base pair in coding sequence. A - symbol is displayed as the numerator if the variant does not appear in coding sequence
t_depth: NUMBER | Read depth across this locus in tumor BAM
gnomAD_EAS_AF: FLOAT | Frequency of existing variant in gnomAD exomes East Asian population
callers: TEXT | A semicolon delimited list of supporting variant callers. If an asterisk is added to the caller name, this indicates the locus is a complex variant and this caller overlapped but did not support (e.g., not all callers can detect MNPs)
gnomAD_non_cancer_MAX_AF_POPS_adj: TEXT | Non-cancer gnomAD genomes populations in which the maximum allele frequency was observed after removing those with less than 2 allele counts
Match_Norm_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 2 (cleared in somatic MAF)
gnomAD_non_cancer_AFR_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer African/American population
ThousG_SAS_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined South Asian population
Tumor_Validation_Allele2: TEXT | Secondary data from orthogonal technology. Tumor genotyping (validation) for allele 2
End_Position: NUMBER | Highest numeric genomic position of the reported variant on the genomic reference sequence. Mutation end coordinate
gnomAD_AFR_AF: FLOAT | Frequency of existing variant in gnomAD exomes African/American population
gnomAD_OTH_AF: FLOAT | Frequency of existing variant in gnomAD exomes other combined population
t_alt_count: NUMBER | Read depth supporting the variant allele in tumor BAM
gnomAD_ASJ_AF: FLOAT | Frequency of existing variant in gnomAD exomes Ashkenazi Jewish population
RNA_depth: TEXT | Read depth at this locus if the variant is supported by tumor RNA-seq data.
MOTIF_POS: TEXT | The relative position of the variation in the aligned TFBP
miRNA: TEXT | SO terms of overlapped miRNA secondary structure feature(s)
CONTEXT: TEXT | The reference allele per VCF specs, and its five flanking base pairs
BIOTYPE: TEXT | Biotype of transcript
Transcript_ID: TEXT | Ensembl ID of the transcript affected by the variant
Feature_type: TEXT | Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (or blank)
Validation_Method: TEXT | The assay platforms used for the validation call
TSL: TEXT | Transcript support level, which is based on independent RNA analyses
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
MANE: TEXT | MANE (Matched Annotation by NCBI and EMBL-EBI) Transcript
TRANSCRIPTION_FACTORS: TEXT | List of transcription factors which bind to the transcription factor binding profile
Amino_acids: TEXT | Amino acid substitution caused by the mutation. Only given if the variation affects the protein-coding sequence
SYMBOL_SOURCE: TEXT | The source of the gene symbol, usually HGNC, rarely blank, other sources include Uniprot_gn, EntrezGene, etc
HGNC_ID: TEXT | Gene identifier from the HUGO Gene Nomenclature Committee if applicable
GENE_PHENO: TEXT | Indicates if gene that the variant maps to is associated with a phenotype, disease or trait (0, 1, or null)
ThousG_AMR_AF: FLOAT | Non-reference allele and frequency of existing variant in 1000 Genomes combined American population
PICK: TEXT | Indicates if this block of consequence data was picked by VEP's   pick feature (1 or null)
COSMIC: TEXT | Overlapping COSMIC variants
Variant_Classification: TEXT | Translational effect of variant allele
HGVS_OFFSET: TEXT | Indicates by how many bases the HGVS notations for this variant have been shifted
UNIPROT_ISOFORM: TEXT | Direct mappings to UniProtKB isoforms
MAX_AF_POPS: TEXT | Populations in which maximum allele frequency was observed
gnomAD_non_cancer_ASJ_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer Ashkenazi Jewish population
FLAGS: TEXT | Transcript quality flags
n_depth: NUMBER | Read depth across this locus in normal BAM
sample_barcode_normal: TEXT | TCGA sample barcode for the normal control, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
Existing_variation: TEXT | Known identifier of existing variation
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
RNA_Support: TEXT | Indicates if the variant is found and alleles (Match), simply (Overlap), or is not supported (No) by tumor RNA-Seq. If it has not been checked against RNA-Seq data, the value will be 'Unknown'.
gnomAD_non_cancer_MAX_AF_adj: FLOAT | Maximum observed allele frequency in non-cancer gnomAD genomes populations after removing subpopulations with less than 2 allele counts
sample_barcode_tumor: TEXT | TCGA sample barcode for the tumor, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
ESP_AA_AF: FLOAT | Non-reference allele and frequency of existing variant in NHLBI-ESP African American population
RNA_ref_count: TEXT | Read depth supporting the reference allele at this locus if the variant is supported by tumor RNA-seq data.
Hugo_Symbol: TEXT | HUGO symbol for the gene (HUGO symbols are always in all caps). Unknown is used for regions that do not correspond to a gene
Consequence: TEXT | Consequence type of this variant; sequence ontology terms
APPRIS: TEXT | Annotates alternatively spliced transcripts as primary or alternate based on a range of computational methods
MAX_AF: FLOAT | Maximum observed allele frequency in 1000 Genomes, ESP and ExAC/gnomAD
DISTANCE: TEXT | Shortest distance from the variant to transcript
Variant_Type: TEXT | Type of mutation. TNP (tri-nucleotide polymorphism) is analogous to DNP (di-nucleotide polymorphism) but for three consecutive nucleotides. ONP (oligo-nucleotide polymorphism) is analogous to TNP but for consecutive runs of four or more (SNP, DNP, TNP, ONP, INS, DEL, or Consolidated)
Matched_Norm_Aliquot_UUID: TEXT | Unique GDC identifier for normal aliquot (10189 unique)
INTRON: TEXT | The intron number (out of total number)
Match_Norm_Validation_Allele1: TEXT | Secondary data from orthogonal technology. Matched normal genotyping (validation) for allele 1. A - symbol for a deletion represents a variant. A - symbol for an insertion represents wild-type allele. Novel inserted sequence for insertion does not include flanking reference bases (cleared in somatic MAF)
RefSeq: TEXT | RefSeq identifier for this transcript
gnomAD_FIN_AF: FLOAT | Frequency of existing variant in gnomAD exomes Finnish population
t_ref_count: NUMBER | Read depth supporting the reference allele in tumor BAM
gnomAD_non_cancer_SAS_AF: FLOAT | Frequency of exisiting variant in gnomAD genomes non-cancer South Asian population
Score: TEXT | Not in use
Allele: TEXT | The variant allele used to calculate the consequence
dbSNP_Val_Status: TEXT | The dbSNP validation status is reported as a semicolon-separated list of statuses. The union of all rs-IDs is taken when there are multiple
Codons: TEXT | The alternative codons with the variant base in upper case
Match_Norm_Seq_Allele2: TEXT | Matched normal sequencing allele 2
TREMBL: TEXT | UniProtKB/TrEMBL identifier of protein product
somaticsniper: TEXT | Somaticsniper caller identified the variant at this position
Mutation_Status: TEXT | An assessment of the mutation as somatic, germline, LOH, post transcriptional modification, unknown, or none. The values allowed in this field are constrained by the value in the Validation_Status field
HIGH_INF_POS: TEXT | A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (Y, N, or null)

## TCGA_VERSIONED.COPY_NUMBER_GENE_LEVEL_HG38_GDC_R36
copy_number: NUMBER | The weighted median of the strand copy numbers. Gene-level copy number data is generated by intersection of copy number segment and gene ranges. It is possible for one gene to overlap with multiple segments, and in this case, copy_number, min_copy_number and max_copy_number could take different values. In particular, the copy_number value is calculated as the median, weighted on length of overlapped bases, of segment copy numbers from all overlapped segments.
primary_site: TEXT | Anatomical site of the cancer under investigation or review
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
end_pos: NUMBER | 1-based end chromosome position of isoform
start_pos: NUMBER | 1-based start chromosome position of isoform
gene_name: TEXT | Gene name eg. TTN, DDR1
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba17
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-02
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba10
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg. ENSG00000185028
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX
min_copy_number: NUMBER | The lowest copy number for overlapped segment (copy number variant only).
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix -- eg. ENSG00000235943.1
max_copy_number: NUMBER | The highest copy number for overlapped segment (copy number variant only).

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R28
Ensembl_gene_id: TEXT | The Ensembl gene ID from the underlying file, but stripped of the version suffix -- eg ENSG00000185028
case_barcode: TEXT | Original case barcode
file_gdc_id_fpkm: TEXT | Unique GDC identifier for the file containing FPKM values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba36
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate data; either IlluminaHiSeq or IlluminaGA
gene_type: TEXT | The type of genetic element the reads mapped to, eg protein_coding, ribozyme
file_gdc_id_counts: TEXT | Unique GDC identifier for the file containing counts values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix  --  eg ENSG00000235943.1
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-31
file_gdc_id_fpkm_uq: TEXT | Unique GDC identifier for the file containing FPKM UQ values (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba43
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
sample_barcode: TEXT | sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
primary_site: TEXT | Anatomical site of the cancer under investigation or review
HTSeq__FPKM: FLOAT | FPKM is implemented at the GDC on gene-level read counts that are produced by HTSeq1 and generated using custom. scripts https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
gene_name: TEXT | Gene name e.g. TTN, DDR1, etc.
HTSeq__FPKM_UQ: FLOAT | Fragments Per Kilobase of transcript per Million mapped reads (FPKM) is a simple expression level normalization method. The FPKM normalizes read count based on gene length and the total number of mapped reads. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-FPKM/
HTSeq__Counts: NUMBER | Number of mapped reads to each gene as calculated by the Python package HTSeq. https://docs.gdc.cancer.gov/Encyclopedia/pages/HTSeq-Counts/
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG19_GDC_R25
sample_barcode: TEXT | Submitter sample barcode, eg TCGA-12-1089-01A
file_name_key: TEXT | GDC path to original BAM or VCF file
sample_gdc_id: TEXT | Unique GDC identifier for sample, eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5, associated with data file. May be null
acl: TEXT | Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179
index_file_id: TEXT | BAM or VCF index file GDC file UUID, when present
case_barcode: TEXT | Original submitter case barcode, eg TCGA-DX-A8BN
index_file_name_key: TEXT | GDC path to original vcf or bam index file, when present
file_type: TEXT | Description of the data, eg. clinical_supplement, aligned_reads
program_name: TEXT | Program name, eg TCGA or TARGET
data_category: TEXT | Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling, etc
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/cases/c21b332c-06c6-4403-9032-f91c8f407ba37
access: TEXT | Data accessibility policy (open or controlled)
data_type: TEXT | Experimental source of the data type, eg Tissue slide image, RNA-Seq
experimental_strategy: TEXT | Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq
sample_type_name: TEXT | Sample type, eg Primary Tumor, Solid Tissue Normal
data_format: TEXT | File format of the underlying data, eg BCR XML, BAM
index_file_size: NUMBER | The size of the index file measured in bytes, when present
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
file_size: NUMBER | The size of a file measured in bytes
platform: TEXT | Platform used to generate data (null, Illumina)
file_gdc_id: TEXT | Unique GDC identifier for this file. This can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V3_4
program_name: TEXT | Name of the data's source program
file_name: TEXT | Name of file in PDC
file_size: NUMBER | The size of the file measured in bytes
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
access: TEXT | Data accessibility policy (open or controlled)
experiment_type: TEXT | General strategy used for differential analysis
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test
sample_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific sample (e.g. Tumor Pat1)
project_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific project (e.g. CPTAC3-Discovery)
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
data_category: TEXT | Category description of the underlying data (e.g. Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling)
program_short_name: TEXT | Program name abbreviation (e.g. CPTAC)
file_location: TEXT | Physical location of the file on the server
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)
file_format: TEXT | File format of the underlying data (eg BCR XML, BAM)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
instrument: TEXT | Make and model of the mass spectrometry instrument
file_id: TEXT | An identifier (UUID) to uniquely identify the file in PDC (e.g. 795dd383-5efd-484b-9c2f-f061ae617fc7)
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)

## TCGA_VERSIONED.CLINICAL_DIAGNOSES_TREATMENTS_GDC_R27
diag__treat__state: TEXT | The current state of the object.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__treatment_id: TEXT | GDC-assigned identifier for a case's treatment data.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__treat__treatment_type: TEXT | Text term that describes the kind of treatment administered.
diag__treat__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__treatment_or_therapy: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.

## TCGA_VERSIONED.RNASEQ_HG38_GDC_R39
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
gene_type: TEXT | The type of genetic element the reads mapped to, eg. protein_coding, ribozyme
sample_barcode: TEXT | sample barcode, eg. TCGA-12-1089-01A. One sample may have multiple sets of expression values corresponding to multiple aliquots; use GROUP BY appropriately in queries
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode)
sample_type_name: TEXT | The longer name of the sample type; eg. Primary Tumor, Recurrent Tumor, etc
Ensembl_gene_id_v: TEXT | The Ensembl gene ID from the underlying file, including the version suffix -- eg. ENSG00000235943.1
case_barcode: TEXT | Original case barcode
fpkm_unstranded: FLOAT | Fragments per kilobase of transcript per million mapped reads (FPKM) calculation, intended to control for transcript length and overall sequencing quantity
file_gdc_id: TEXT | Unique GDC identifier for the file containing the expression values (corresponds to the file_barcode)
gene_name: TEXT | Gene name eg. TTN, DDR1
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode)
primary_site: TEXT | Anatomical site of the cancer under investigation or review
stranded_second: NUMBER | Number of mapped reads mapping to only the second strand of the genomic region of each gene as calculated by STAR
unstranded: NUMBER | Number of mapped reads mapping to both strands of the genomic region of each gene as calculated by STAR
stranded_first: NUMBER | Number of mapped reads mapping to only the first strand of the genomic region of each gene as calculated by STAR
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode)
tpm_unstranded: FLOAT | Transcripts per million with transcripts normalized for length, as calculated by a custom GDC pipeline
fpkm_uq_unstranded: FLOAT | Upper quartile FPKM (FPKM-UQ), a modified FPKM calculation in which the protein coding gene in the 75th percentile position is substituted for the sequencing quantity. This is thought to provide a more stable value than including the noisier genes at the extremes
aliquot_barcode: TEXT | TCGA aliquot barcode, eg. TCGA-12-1089-01A-01D-0517-31
platform: TEXT | Platform used to generate data; eg. IlluminaHiSeq or IlluminaGA
